EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 31-05-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROMANIA, BUCURESTI-BANEASA (STAID: 219).
Blended and updated with sources: 223645 223646 915420 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
223645,19730101,    6,    0
223645,19730102,   31,    0
223645,19730103,   17,    0
223645,19730104,    8,    0
223645,19730105,    6,    0
223645,19730106,   23,    0
223645,19730107,   30,    0
223645,19730108,   29,    0
223645,19730109,   18,    0
223645,19730110,   22,    0
223645,19730111,   36,    0
223645,19730112,   11,    0
223645,19730113,   53,    0
223645,19730114,   45,    0
223645,19730115,   14,    0
223645,19730116,   45,    0
223645,19730117,   52,    0
223645,19730118,    7,    0
223645,19730119,    4,    0
223645,19730120,   68,    0
223645,19730121,   88,    0
223645,19730122,   45,    0
223645,19730123,   57,    0
223645,19730124,   67,    0
223645,19730125,   68,    0
223645,19730126,   21,    0
223645,19730127,   31,    0
223645,19730128,   11,    0
223645,19730129,   78,    0
223645,19730130,   15,    0
223645,19730131,    6,    0
223645,19730201,   23,    0
223645,19730202,   45,    0
223645,19730203,   22,    0
223645,19730204,   25,    0
223645,19730205,   18,    0
223645,19730206,   44,    0
223645,19730207,   32,    0
223645,19730208,   21,    0
223645,19730209,   29,    0
223645,19730210,   29,    0
223645,19730211,   24,    0
223645,19730212,   17,    0
223645,19730213,    5,    0
223645,19730214,   12,    0
223645,19730215,   26,    0
223645,19730216,   31,    0
223645,19730217,   23,    0
223645,19730218,   44,    0
223645,19730219,   42,    0
223645,19730220,   22,    0
223645,19730221,   12,    0
223645,19730222,   22,    0
223645,19730223,    6,    0
223645,19730224,    8,    0
223645,19730225,   25,    0
223645,19730226,   94,    0
223645,19730227,   42,    0
223645,19730228,   25,    0
223645,19730301,   26,    0
223645,19730302,   25,    0
223645,19730303,   10,    0
223645,19730304,   29,    0
223645,19730305,   30,    0
223645,19730306,   28,    0
223645,19730307,   16,    0
223645,19730308,   33,    0
223645,19730309,   17,    0
223645,19730310,   20,    0
223645,19730311,   54,    0
223645,19730312,   60,    0
223645,19730313,   69,    0
223645,19730314,  117,    0
223645,19730315,   20,    0
223645,19730316,   18,    0
223645,19730317,   15,    0
223645,19730318,   20,    0
223645,19730319,   12,    0
223645,19730320,   39,    0
223645,19730321,   29,    0
223645,19730322,   12,    0
223645,19730323,   22,    0
223645,19730324,    5,    0
223645,19730325,   35,    0
223645,19730326,   44,    0
223645,19730327,   45,    0
223645,19730328,   55,    0
223645,19730329,   75,    0
223645,19730330,   62,    0
223645,19730331,   38,    0
223645,19730401,    4,    0
223645,19730402,   24,    0
223645,19730403,   40,    0
223645,19730404,   75,    0
223645,19730405,   69,    0
223645,19730406,   43,    0
223645,19730407,   21,    0
223645,19730408,   32,    0
223645,19730409,   23,    0
223645,19730410,   23,    0
223645,19730411,   55,    0
223645,19730412,   38,    0
223645,19730413,   47,    0
223645,19730414,   21,    0
223645,19730415,   54,    0
223645,19730416,   66,    0
223645,19730417,   36,    0
223645,19730418,   34,    0
223645,19730419,   29,    0
223645,19730420,   56,    0
223645,19730421,   22,    0
223645,19730422,   56,    0
223645,19730423,   30,    0
223645,19730424,   60,    0
223645,19730425,   56,    0
223645,19730426,   41,    0
223645,19730427,   27,    0
223645,19730428,   14,    0
223645,19730429,    4,    0
223645,19730430,   15,    0
223645,19730501,   21,    0
223645,19730502,   15,    0
223645,19730503,   11,    0
223645,19730504,   42,    0
223645,19730505,   19,    0
223645,19730506,   16,    0
223645,19730507,    9,    0
223645,19730508,    2,    0
223645,19730509,   29,    0
223645,19730510,   88,    0
223645,19730511,   57,    0
223645,19730512,   41,    0
223645,19730513,   49,    0
223645,19730514,   16,    0
223645,19730515,   29,    0
223645,19730516,   49,    0
223645,19730517,   41,    0
223645,19730518,   14,    0
223645,19730519,   11,    0
223645,19730520,   42,    0
223645,19730521,   25,    0
223645,19730522,   13,    0
223645,19730523,   11,    0
223645,19730524,   29,    0
223645,19730525,   25,    0
223645,19730526,   19,    0
223645,19730527,   29,    0
223645,19730528,   24,    0
223645,19730529,   38,    0
223645,19730530,   31,    0
223645,19730531,   30,    0
223645,19730601,    6,    0
223645,19730602,    8,    0
223645,19730603,   13,    0
223645,19730604,   24,    0
223645,19730605,   23,    0
223645,19730606,   12,    0
223645,19730607,   16,    0
223645,19730608,   13,    0
223645,19730609,   24,    0
223645,19730610,   16,    0
223645,19730611,   14,    0
223645,19730612,   16,    0
223645,19730613,   13,    0
223645,19730614,    2,    0
223645,19730615,   17,    0
223645,19730616,   16,    0
223645,19730617,   15,    0
223645,19730618,   13,    0
223645,19730619,    8,    0
223645,19730620,   12,    0
223645,19730621,    8,    0
223645,19730622,    5,    0
223645,19730623,   29,    0
223645,19730624,   30,    0
223645,19730625,   21,    0
223645,19730626,   12,    0
223645,19730627,    8,    0
223645,19730628,    9,    0
223645,19730629,    8,    0
223645,19730630,    5,    0
223645,19730701,    8,    0
223645,19730702,    6,    0
223645,19730703,   11,    0
223645,19730704,    6,    0
223645,19730705,    6,    0
223645,19730706,    6,    0
223645,19730707,    6,    0
223645,19730708,    6,    0
223645,19730709,    5,    0
223645,19730710,   17,    0
223645,19730711,   17,    0
223645,19730712,   11,    0
223645,19730713,    4,    0
223645,19730714,    6,    0
223645,19730715,    1,    0
223645,19730716,    7,    0
223645,19730717,    7,    0
223645,19730718,   11,    0
223645,19730719,   10,    0
223645,19730720,   11,    0
223645,19730721,    3,    0
223645,19730722,    6,    0
223645,19730723,   13,    0
223645,19730724,   16,    0
223645,19730725,   19,    0
223645,19730726,   16,    0
223645,19730727,   12,    0
223645,19730728,   23,    0
223645,19730729,   20,    0
223645,19730730,    9,    0
223645,19730731,   11,    0
223645,19730801,   20,    0
223645,19730802,   10,    0
223645,19730803,    8,    0
223645,19730804,    8,    0
223645,19730805,    2,    0
223645,19730806,    9,    0
223645,19730807,   13,    0
223645,19730808,   13,    0
223645,19730809,    7,    0
223645,19730810,   12,    0
223645,19730811,   10,    0
223645,19730812,    5,    0
223645,19730813,   10,    0
223645,19730814,   13,    0
223645,19730815,    7,    0
223645,19730816,   12,    0
223645,19730817,    4,    0
223645,19730818,    8,    0
223645,19730819,    8,    0
223645,19730820,    2,    0
223645,19730821,    8,    0
223645,19730822,   14,    0
223645,19730823,   11,    0
223645,19730824,   11,    0
223645,19730825,    3,    0
223645,19730826,   19,    0
223645,19730827,   18,    0
223645,19730828,   13,    0
223645,19730829,   12,    0
223645,19730830,    8,    0
223645,19730831,    3,    0
223645,19730901,    8,    0
223645,19730902,    7,    0
223645,19730903,    7,    0
223645,19730904,    9,    0
223645,19730905,    9,    0
223645,19730906,    2,    0
223645,19730907,    7,    0
223645,19730908,    5,    0
223645,19730909,    3,    0
223645,19730910,    5,    0
223645,19730911,   19,    0
223645,19730912,    4,    0
223645,19730913,   25,    0
223645,19730914,   11,    0
223645,19730915,    2,    0
223645,19730916,    6,    0
223645,19730917,    4,    0
223645,19730918,   38,    0
223645,19730919,   30,    0
223645,19730920,   20,    0
223645,19730921,    7,    0
223645,19730922,    7,    0
223645,19730923,   12,    0
223645,19730924,   16,    0
223645,19730925,   20,    0
223645,19730926,   22,    0
223645,19730927,   31,    0
223645,19730928,   17,    0
223645,19730929,   14,    0
223645,19730930,    2,    0
223645,19731001,    9,    0
223645,19731002,    5,    0
223645,19731003,   21,    0
223645,19731004,   16,    0
223645,19731005,   19,    0
223645,19731006,   13,    0
223645,19731007,   18,    0
223645,19731008,   13,    0
223645,19731009,    7,    0
223645,19731010,    9,    0
223645,19731011,    3,    0
223645,19731012,    7,    0
223645,19731013,   14,    0
