EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 31-05-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 QQ   : daily Global radiation in W/m2
23-27 Q_QQ : quality code for QQ (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROMANIA, BUCURESTI-BANEASA (STAID: 219).
Blended and updated with sources: 219124 915420 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   QQ, Q_QQ
219124,19640101,   35,    0
219124,19640102,   15,    0
219124,19640103,   27,    0
219124,19640104,   38,    0
219124,19640105,   86,    0
219124,19640106,   88,    0
219124,19640107,   68,    0
219124,19640108,   25,    0
219124,19640109,   36,    0
219124,19640110,   35,    0
219124,19640111,   73,    0
219124,19640112,   85,    0
219124,19640113,   73,    0
219124,19640114,   88,    0
219124,19640115,   53,    0
219124,19640116,  103,    0
219124,19640117,  114,    1
219124,19640118,   86,    0
219124,19640119,   93,    0
219124,19640120,   99,    0
219124,19640121,   50,    0
219124,19640122,   97,    0
219124,19640123,   71,    0
219124,19640124,   87,    0
219124,19640125,   96,    0
219124,19640126,  101,    0
219124,19640127,  111,    0
219124,19640128,   82,    0
219124,19640129,   79,    0
219124,19640130,   46,    0
219124,19640131,   24,    0
219124,19640201,   41,    0
219124,19640202,   68,    0
219124,19640203,  105,    0
219124,19640204,  111,    0
219124,19640205,  116,    0
219124,19640206,   98,    0
219124,19640207,  130,    0
219124,19640208,  124,    0
219124,19640209,   90,    0
219124,19640210,   41,    0
219124,19640211,   88,    0
219124,19640212,  122,    0
219124,19640213,   62,    0
219124,19640214,  134,    0
219124,19640215,  151,    0
219124,19640216,   71,    0
219124,19640217,   34,    0
219124,19640218,   98,    0
219124,19640219,   88,    0
219124,19640220,   19,    0
219124,19640221,  124,    0
219124,19640222,  123,    0
219124,19640223,   80,    0
219124,19640224,   93,    0
219124,19640225,  170,    0
219124,19640226,  102,    0
219124,19640227,   30,    0
219124,19640228,   29,    0
219124,19640229,   37,    0
219124,19640301,   96,    0
219124,19640302,  181,    0
219124,19640303,  153,    0
219124,19640304,  162,    0
219124,19640305,   51,    0
219124,19640306,  124,    0
219124,19640307,   79,    0
219124,19640308,   93,    0
219124,19640309,  141,    0
219124,19640310,  136,    0
219124,19640311,  142,    0
219124,19640312,  106,    0
219124,19640313,   35,    0
219124,19640314,   65,    0
219124,19640315,   67,    0
219124,19640316,   68,    0
219124,19640317,   50,    0
219124,19640318,  157,    0
219124,19640319,   42,    0
219124,19640320,   76,    0
219124,19640321,  153,    0
219124,19640322,   77,    0
219124,19640323,  190,    0
219124,19640324,  167,    0
219124,19640325,  122,    0
219124,19640326,  222,    0
219124,19640327,  214,    0
219124,19640328,   93,    0
219124,19640329,  225,    0
219124,19640330,  231,    0
219124,19640331,  238,    0
219124,19640401,   46,    0
219124,19640402,  254,    0
219124,19640403,  166,    0
219124,19640404,  129,    0
219124,19640405,  166,    0
219124,19640406,  240,    0
219124,19640407,  161,    0
219124,19640408,  213,    0
219124,19640409,   35,    0
