EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 31-05-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : daily Minimum temperature in 0.1 &#176;C
23-27 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROMANIA, BUCURESTI-BANEASA (STAID: 219).
Blended and updated with sources: 100686 254859 915420 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
100686,19290101,  -12,    0
100686,19290102,    0,    0
100686,19290103,  -17,    0
100686,19290104,   10,    1
100686,19290105,   -6,    0
100686,19290106,  -20,    0
100686,19290107,  -88,    0
100686,19290108, -125,    0
100686,19290109, -121,    0
100686,19290110, -181,    0
100686,19290111, -182,    0
100686,19290112, -183,    0
100686,19290113, -116,    0
100686,19290114,  -90,    0
100686,19290115,  -86,    0
100686,19290116,  -90,    0
100686,19290117, -100,    0
100686,19290118, -141,    0
100686,19290119, -267,    0
100686,19290120, -150,    0
100686,19290121, -200,    0
100686,19290122, -243,    0
100686,19290123, -275,    0
100686,19290124, -302,    0
100686,19290125, -277,    0
100686,19290126,  -90,    0
100686,19290127,  -32,    0
100686,19290128,  -48,    0
100686,19290129,  -34,    0
100686,19290130,  -83,    0
100686,19290131, -133,    0
100686,19290201, -182,    0
100686,19290202, -187,    0
100686,19290203, -187,    0
100686,19290204, -153,    0
100686,19290205, -128,    0
100686,19290206, -136,    0
100686,19290207, -226,    0
100686,19290208, -275,    0
100686,19290209, -235,    0
100686,19290210, -290,    0
100686,19290211, -242,    0
100686,19290212, -226,    0
100686,19290213, -182,    0
100686,19290214, -126,    0
100686,19290215,  -75,    0
100686,19290216, -126,    0
100686,19290217, -146,    0
100686,19290218, -130,    0
100686,19290219, -150,    0
100686,19290220, -153,    0
100686,19290221, -190,    0
100686,19290222, -216,    0
100686,19290223, -230,    0
100686,19290224, -256,    0
100686,19290225, -125,    0
100686,19290226,  -85,    0
100686,19290227,  -60,    0
100686,19290228,  -70,    0
100686,19290301, -113,    0
100686,19290302, -146,    0
100686,19290303, -183,    0
100686,19290304, -177,    0
100686,19290305, -121,    0
100686,19290306, -133,    0
100686,19290307, -136,    0
100686,19290308, -113,    0
100686,19290309, -115,    0
100686,19290310,  -96,    0
100686,19290311, -100,    0
100686,19290312,  -76,    0
100686,19290313,  -75,    0
100686,19290314,  -53,    0
100686,19290315,  -58,    0
100686,19290316,  -68,    0
100686,19290317, -100,    0
100686,19290318,  -83,    0
100686,19290319,  -73,    0
100686,19290320,  -58,    0
100686,19290321,  -37,    0
100686,19290322,  -32,    0
100686,19290323,  -48,    0
100686,19290324,  -37,    0
100686,19290325,  -48,    0
100686,19290326,  -46,    0
100686,19290327,   -8,    0
100686,19290328,  -32,    0
100686,19290329,-9999,    9
100686,19290330,-9999,    9
100686,19290331,-9999,    9
100686,19290401,   10,    1
100686,19290402,   35,    1
100686,19290403,   11,    1
100686,19290404,  -43,    0
100686,19290405,  -50,    0
100686,19290406,  -95,    0
100686,19290407,  -32,    0
100686,19290408,   -5,    0
100686,19290409,  -44,    0
100686,19290410,  -32,    0
100686,19290411,  -41,    0
100686,19290412,  -12,    0
100686,19290413,   -6,    0
100686,19290414,  -45,    0
100686,19290415,    4,    1
100686,19290416,    6,    1
100686,19290417,  -27,    0
100686,19290418,  -78,    0
100686,19290419,  -58,    0
100686,19290420,   16,    1
100686,19290421,   20,    1
100686,19290422,   15,    1
100686,19290423,  -20,    0
100686,19290424,   16,    1
100686,19290425,   32,    1
100686,19290426,    3,    1
100686,19290427,   25,    1
100686,19290428,   13,    1
100686,19290429,  -60,    0
100686,19290430,   12,    1
100686,19290501,   10,    1
100686,19290502,  100,    1
100686,19290503,   70,    1
